ticker,timeframe,feature_set,confirmations,leverage,cooldown_hours,covariance_type,wf_sharpe,wf_return,wf_drawdown,wf_n_windows,wf_pos_windows,wf_trades,wf_win_rate,wf_mean_sharpe,wf_std_sharpe,wf_mean_return,wf_std_return,wf_initial_equity,wf_final_equity
X:XRPUSD,4h,full,7,2.0,48,full,-1.932,-14.98,-21.01,2,0,12,25.0,-2.621,2.079,-7.71,3.77,10000.0,8502.43
X:ETHUSD,2h,extended,8,2.0,72,diag,-1.721,-11.1,-15.09,2,1,4,50.0,-0.902,2.419,-5.38,8.02,10000.0,8889.55
X:SOLUSD,4h,full,8,1.5,72,diag,6.24,45.63,-11.16,2,1,7,57.1,3.554,5.524,23.02,23.87,10000.0,14562.99
X:SOLUSD,1h,base,7,1.0,48,full,0.13,0.42,-8.89,2,1,39,46.2,0.072,0.621,0.23,2.27,10000.0,10041.67
X:ETHUSD,4h,base,6,2.0,48,diag,2.733,30.78,-20.1,2,1,23,47.8,2.664,3.233,16.52,22.34,10000.0,13077.82
X:SOLUSD,3h,extended,7,1.0,48,diag,2.706,21.37,-11.68,2,1,22,54.5,2.29,2.506,10.83,12.08,10000.0,12136.67
X:BTCUSD,4h,base,6,1.5,72,full,-0.694,-13.58,-39.42,5,1,69,34.8,-1.058,5.025,-1.35,18.49,10000.0,8641.69
X:XRPUSD,3h,base,8,1.0,48,full,-3.971,-3.02,-3.02,2,0,2,0.0,-3.945,0.495,-1.52,0.3,10000.0,9698.05
X:SOLUSD,3h,full,6,2.0,72,full,-4.877,-49.24,-58.54,2,0,42,38.1,-4.585,3.095,-26.79,16.82,10000.0,5076.14
X:XRPUSD,3h,base,6,1.5,72,full,-4.304,-32.06,-32.06,2,0,31,25.8,-5.185,3.421,-17.25,7.29,10000.0,6794.49
X:BTCUSD,1h,base,6,1.0,48,diag,-1.724,-31.6,-33.16,5,1,137,38.7,-1.858,1.661,-7.13,5.82,10000.0,6839.76
X:XRPUSD,4h,extended,6,1.0,72,full,0.679,2.52,-24.49,2,1,16,43.8,0.645,2.103,2.04,12.72,10000.0,10251.54
X:ETHUSD,3h,base,7,1.0,72,diag,3.085,18.48,-11.16,2,1,15,40.0,3.858,5.011,9.76,14.11,10000.0,11848.23
X:XRPUSD,2h,base,8,1.5,48,full,1.497,7.32,-6.45,2,2,5,60.0,1.792,0.16,3.61,1.66,10000.0,10732.05
X:BTCUSD,3h,base,7,1.0,48,diag,-1.941,-16.38,-22.21,5,1,38,42.1,-1.752,3.293,-3.25,7.08,10000.0,8362.47
X:ETHUSD,3h,full,7,2.0,72,diag,0.204,-0.76,-21.06,2,1,26,42.3,0.546,1.431,-0.16,6.64,10000.0,9923.93
X:SOLUSD,4h,full,6,2.0,72,diag,3.268,54.59,-26.46,2,1,22,59.1,2.694,2.491,27.71,29.18,10000.0,15459.43
