ticker,timeframe,feature_set,confirmations,leverage,cooldown_hours,covariance_type,wf_sharpe,wf_return,wf_drawdown,wf_n_windows,wf_pos_windows,wf_trades,wf_win_rate,wf_mean_sharpe,wf_std_sharpe,wf_mean_return,wf_std_return,wf_initial_equity,wf_final_equity
X:BTCUSD,3h,full,8,1.5,72,full,2.961,9.55,-1.46,5,2,3,66.7,1.328,3.367,1.89,3.05,10000.0,10954.94
X:ETHUSD,1h,base,6,2.0,48,full,0.695,10.09,-21.59,2,1,67,38.8,0.621,0.774,5.22,7.9,10000.0,11009.0
X:SOLUSD,3h,extended,7,1.0,72,diag,3.223,25.33,-10.43,2,2,18,55.6,2.925,2.096,12.44,10.42,10000.0,12533.29
X:ETHUSD,3h,extended,6,1.5,48,diag,-0.392,-9.2,-25.04,2,1,37,37.8,-0.973,1.638,-4.52,6.07,10000.0,9079.74
X:BTCUSD,2h,full,6,2.0,48,diag,0.568,10.81,-33.13,5,2,102,46.1,0.403,1.378,2.62,10.49,10000.0,11081.35
X:ETHUSD,4h,base,7,2.0,72,full,-2.201,-15.28,-19.49,2,0,13,38.5,-3.663,1.677,-7.92,2.42,10000.0,8472.01
X:BTCUSD,2h,full,7,1.5,72,full,-1.847,-32.17,-34.54,5,1,63,34.9,-1.739,1.369,-7.2,6.95,10000.0,6782.63
X:ETHUSD,3h,full,7,1.0,72,diag,0.231,0.42,-11.07,2,1,26,42.3,0.565,1.368,0.26,3.05,10000.0,10042.17
X:ETHUSD,3h,extended,7,2.0,48,full,-0.639,-8.35,-30.3,2,1,19,42.1,-0.44,3.159,-3.15,14.62,10000.0,9164.92
X:XRPUSD,4h,extended,7,1.0,48,full,-1.936,-19.19,-36.89,2,0,9,11.1,-2.067,1.105,-10.04,3.32,10000.0,8081.26
X:ETHUSD,2h,base,6,1.0,48,diag,1.6,10.83,-9.7,2,1,43,55.8,1.717,2.439,5.64,8.79,10000.0,11082.78
X:SOLUSD,4h,base,8,2.0,48,full,-0.303,-0.87,-6.3,2,0,2,50.0,-0.214,0.214,-0.43,0.43,10000.0,9913.35
X:BTCUSD,1h,full,7,1.5,48,full,-2.387,-34.39,-35.1,5,0,107,24.3,-2.391,1.038,-7.99,4.03,10000.0,6561.37
X:SOLUSD,2h,full,7,1.5,72,full,1.212,7.66,-12.61,2,2,20,60.0,1.21,0.229,3.76,0.84,10000.0,10765.69
X:XRPUSD,1h,full,6,1.5,48,full,-1.041,-14.36,-20.88,2,0,66,34.8,-1.514,1.53,-7.26,6.08,10000.0,8563.76
X:XRPUSD,3h,base,7,1.5,72,full,-5.122,-25.14,-30.97,2,0,19,15.8,-5.235,1.215,-13.46,1.83,10000.0,7485.72
X:BTCUSD,3h,extended,6,1.0,72,diag,-0.87,-13.44,-33.7,5,1,72,41.7,-0.974,4.367,-1.83,14.43,10000.0,8655.69
X:ETHUSD,4h,base,7,1.5,72,diag,-2.438,-14.26,-18.45,2,0,10,40.0,-2.538,1.843,-7.29,4.48,10000.0,8574.38
X:BTCUSD,2h,extended,7,1.5,48,diag,1.596,37.32,-15.36,5,3,81,53.1,1.493,2.568,7.19,11.69,10000.0,13731.96
X:XRPUSD,3h,extended,7,1.0,72,full,0.356,1.07,-15.55,2,1,13,38.5,0.202,1.886,0.73,6.28,10000.0,10106.54
X:ETHUSD,2h,extended,8,1.0,48,full,2.133,5.74,-3.22,2,1,2,50.0,1.509,1.509,2.87,2.87,10000.0,10574.46
X:SOLUSD,4h,full,6,1.5,72,full,-4.089,-37.63,-41.09,2,0,25,40.0,-3.773,2.418,-20.0,12.79,10000.0,6236.89
X:XRPUSD,4h,full,8,1.0,72,diag,1.007,4.89,-15.07,2,1,7,57.1,0.924,0.742,2.45,2.54,10000.0,10488.81
X:XRPUSD,4h,full,6,1.5,72,full,-0.109,-4.26,-27.91,2,1,24,33.3,-0.179,1.137,-2.04,4.83,10000.0,9573.61
X:ETHUSD,3h,full,7,2.0,48,full,-1.157,-9.69,-12.44,2,0,26,34.6,-1.173,0.263,-4.96,0.62,10000.0,9031.5
X:XRPUSD,3h,full,8,1.5,72,full,-0.951,-0.61,-1.35,2,0,1,0.0,-0.672,0.672,-0.3,0.3,10000.0,9938.84
X:BTCUSD,2h,base,8,2.0,72,full,-0.907,-7.59,-10.83,5,3,10,50.0,-0.742,2.301,-1.51,3.3,10000.0,9241.0
X:BTCUSD,1h,full,7,2.0,48,diag,0.384,9.28,-20.56,5,3,87,51.7,0.328,1.3,2.24,9.58,10000.0,10928.07
X:SOLUSD,1h,extended,7,2.0,72,full,-1.287,-29.09,-36.37,2,0,32,31.2,-1.478,0.796,-15.71,3.74,10000.0,7091.08
X:ETHUSD,1h,base,8,2.0,72,full,0.79,3.94,-6.16,2,1,8,25.0,-0.338,3.487,2.3,8.46,10000.0,10394.49
X:SOLUSD,3h,extended,8,2.0,72,diag,1.654,13.47,-21.42,2,1,8,37.5,0.836,3.738,8.07,18.2,10000.0,11347.28
X:ETHUSD,2h,extended,7,1.5,48,full,2.565,36.45,-17.92,2,2,24,54.2,2.665,0.835,16.91,4.84,10000.0,13644.52
X:BTCUSD,2h,extended,7,1.5,72,diag,1.033,17.71,-19.6,5,3,70,51.4,1.041,2.358,3.74,9.26,10000.0,11771.18
X:BTCUSD,2h,full,8,1.0,72,full,-2.535,-7.9,-8.73,5,0,14,28.6,-2.042,1.633,-1.62,1.31,10000.0,9210.38
X:XRPUSD,1h,extended,8,1.5,48,full,-1.391,-5.3,-6.54,2,0,6,16.7,-1.391,0.601,-2.68,1.12,10000.0,9469.87
X:SOLUSD,1h,base,6,1.5,48,diag,-2.515,-30.39,-34.51,2,0,65,38.5,-2.486,0.542,-16.47,4.04,10000.0,6961.18
X:SOLUSD,4h,full,7,1.5,48,full,-2.344,-9.99,-13.67,2,0,13,46.2,-2.528,2.569,-5.01,4.71,10000.0,9000.91
X:ETHUSD,3h,full,8,1.0,72,diag,-3.155,-6.22,-6.74,2,0,6,16.7,-3.45,0.461,-3.14,2.23,10000.0,9377.84
X:BTCUSD,4h,base,6,2.0,48,diag,-2.427,-43.34,-56.2,5,2,71,39.4,-2.348,5.179,-8.81,18.93,10000.0,5666.42
X:ETHUSD,4h,base,6,1.0,72,full,0.527,1.69,-10.47,2,1,25,56.0,0.925,1.826,0.94,4.45,10000.0,10168.75
X:ETHUSD,3h,full,6,1.5,72,diag,-2.331,-19.96,-31.86,2,0,36,33.3,-2.535,1.053,-10.51,2.1,10000.0,8003.81
X:BTCUSD,4h,full,8,2.0,48,diag,-1.029,-16.44,-34.45,5,3,12,41.7,-0.816,3.893,-2.69,12.23,10000.0,8356.22
X:SOLUSD,1h,full,6,1.5,48,full,-0.368,-6.46,-13.13,2,0,71,45.1,-0.407,0.254,-3.27,1.03,10000.0,9354.23
X:ETHUSD,2h,base,6,1.5,72,full,-1.802,-17.3,-23.06,2,1,40,42.5,-1.393,3.02,-7.97,14.09,10000.0,8270.06
X:SOLUSD,2h,base,8,2.0,48,diag,0.137,0.12,-11.54,2,1,7,57.1,-0.356,1.273,0.1,2.84,10000.0,10012.36
X:SOLUSD,1h,full,8,1.5,72,diag,0.733,8.09,-18.51,2,1,14,57.1,0.36,0.853,4.1,5.42,10000.0,10809.1
X:SOLUSD,1h,base,8,1.5,72,diag,-0.058,-0.71,-6.65,2,1,10,50.0,-0.089,0.314,-0.34,0.88,10000.0,9929.47
X:BTCUSD,2h,extended,6,1.0,72,full,-1.622,-23.61,-32.43,5,1,84,36.9,-2.409,2.761,-5.07,5.8,10000.0,7639.13
X:XRPUSD,4h,extended,7,2.0,72,diag,-2.265,-32.99,-51.23,2,0,18,38.9,-3.132,2.762,-17.66,8.8,10000.0,6701.04
X:SOLUSD,1h,base,6,1.5,48,full,0.899,11.7,-13.69,2,1,63,39.7,0.927,1.038,5.98,7.95,10000.0,11170.34
X:BTCUSD,4h,base,8,1.0,72,full,-1.124,-1.36,-1.73,5,0,1,0.0,-0.501,1.002,-0.27,0.54,10000.0,9864.35
X:XRPUSD,3h,base,7,1.0,48,diag,-0.533,-3.73,-13.31,2,1,11,36.4,-0.48,2.607,-1.63,7.05,10000.0,9626.76
X:SOLUSD,2h,full,7,1.5,48,diag,2.426,51.47,-30.71,2,1,27,37.0,0.797,4.855,36.86,59.84,10000.0,15146.91
X:BTCUSD,4h,base,6,2.0,72,full,-2.187,-39.01,-48.06,5,1,69,31.9,-2.288,2.578,-8.83,10.31,10000.0,6098.71
X:XRPUSD,1h,full,6,2.0,72,full,-2.571,-32.89,-36.14,2,0,50,20.0,-2.58,0.326,-17.81,6.56,10000.0,6711.42
X:ETHUSD,4h,base,7,2.0,48,diag,-2.429,-19.02,-24.0,2,0,10,40.0,-2.529,1.851,-9.82,5.82,10000.0,8098.08
X:ETHUSD,2h,base,7,1.0,48,full,-1.722,-9.06,-12.86,2,1,31,45.2,-1.292,2.737,-4.36,7.32,10000.0,9093.62
X:SOLUSD,1h,base,7,1.0,72,full,-0.27,-2.55,-10.42,2,0,33,45.5,-0.285,0.109,-1.28,0.21,10000.0,9744.8
X:SOLUSD,2h,base,6,1.5,48,diag,-0.071,-4.45,-35.49,2,1,46,45.7,-0.361,4.491,2.12,29.59,10000.0,9554.97
X:XRPUSD,3h,extended,8,1.0,48,full,2.432,5.75,-2.83,2,2,3,100.0,3.393,0.057,2.87,2.69,10000.0,10574.79
X:ETHUSD,1h,base,7,1.5,48,diag,0.292,2.16,-12.73,2,2,41,56.1,0.312,0.086,1.07,0.55,10000.0,10216.05
X:SOLUSD,1h,full,8,2.0,72,full,-0.313,-1.67,-5.1,2,1,8,37.5,-0.659,1.607,-0.78,3.29,10000.0,9833.4
X:ETHUSD,3h,base,7,1.5,48,full,-3.998,-25.74,-32.05,2,0,20,25.0,-4.538,3.708,-13.34,9.18,10000.0,7425.73
X:SOLUSD,4h,full,8,2.0,72,full,-3.064,-3.78,-3.78,2,0,2,0.0,-2.167,2.167,-1.89,1.89,10000.0,9622.02
X:SOLUSD,3h,extended,8,1.0,48,diag,1.666,7.52,-11.42,2,1,8,37.5,0.797,3.733,4.1,9.25,10000.0,10751.79
X:SOLUSD,3h,full,6,1.5,48,diag,-2.868,-37.04,-52.73,2,1,43,41.9,-2.373,3.043,-18.16,20.05,10000.0,6296.35
X:BTCUSD,2h,base,6,1.5,72,full,-1.147,-20.65,-31.25,5,2,99,38.4,-1.31,3.047,-4.18,8.05,10000.0,7935.18
X:ETHUSD,1h,extended,6,1.0,48,diag,-0.734,-6.63,-12.9,2,0,37,43.2,-0.567,0.552,-3.32,3.18,10000.0,9336.75
